,file,bytes,name,instrument,percussion,note,octave,pitch,length,dynamic,style
6328,oboe/oboe_G5_025_fortissimo_normal.mp3,7419,oboe_G5_025_fortissimo_normal,oboe,False,G,5.0,783.99,025,fortissimo,normal
6329,oboe/oboe_B3_025_piano_normal.mp3,6791,oboe_B3_025_piano_normal,oboe,False,B,3.0,246.94,025,piano,normal
6330,oboe/oboe_G4_15_forte_normal.mp3,21839,oboe_G4_15_forte_normal,oboe,False,G,4.0,392.0,15,forte,normal
6331,oboe/oboe_F6_15_piano_normal.mp3,19958,oboe_F6_15_piano_normal,oboe,False,F,6.0,1396.91,15,piano,normal
6332,oboe/oboe_B5_15_forte_normal.mp3,23092,oboe_B5_15_forte_normal,oboe,False,B,5.0,987.77,15,forte,normal
6333,oboe/oboe_Cs5_phrase_mezzo-forte_tongued-slur.mp3,86100,oboe_Cs5_phrase_mezzo-forte_tongued-slur,oboe,False,C#,5.0,554.37,phrase,mezzo-forte,tongued-slur
6334,oboe/oboe_Ds6_025_forte_normal.mp3,7419,oboe_Ds6_025_forte_normal,oboe,False,D#,6.0,1244.51,025,forte,normal
6335,oboe/oboe_As4_05_mezzo-forte_normal.mp3,14002,oboe_As4_05_mezzo-forte_normal,oboe,False,A#,4.0,466.16,05,mezzo-forte,normal
6336,oboe/oboe_B4_025_fortissimo_normal.mp3,8359,oboe_B4_025_fortissimo_normal,oboe,False,B,4.0,493.88,025,fortissimo,normal
6337,oboe/oboe_F4_1_mezzo-forte_normal.mp3,16196,oboe_F4_1_mezzo-forte_normal,oboe,False,F,4.0,349.23,1,mezzo-forte,normal
6338,oboe/oboe_F6_1_forte_normal.mp3,15883,oboe_F6_1_forte_normal,oboe,False,F,6.0,1396.91,1,forte,normal
6339,oboe/oboe_D4_025_mezzo-forte_normal.mp3,8673,oboe_D4_025_mezzo-forte_normal,oboe,False,D,4.0,293.66,025,mezzo-forte,normal
6340,oboe/oboe_A5_025_forte_normal.mp3,7732,oboe_A5_025_forte_normal,oboe,False,A,5.0,880.0,025,forte,normal
6341,oboe/oboe_E4_15_fortissimo_normal.mp3,23719,oboe_E4_15_fortissimo_normal,oboe,False,E,4.0,329.63,15,fortissimo,normal
6342,oboe/oboe_F6_1_forte_major-trill.mp3,30302,oboe_F6_1_forte_major-trill,oboe,False,F,6.0,1396.91,1,forte,major-trill
6343,oboe/oboe_As4_1_forte_major-trill.mp3,29989,oboe_As4_1_forte_major-trill,oboe,False,A#,4.0,466.16,1,forte,major-trill
